Topology,Iteration,TrainLoss,TestLoss,Gap,ConsErr
ring,0,0.6788914203643799,0.6754719240188599,-0.003419496345519968,0.04650430473654158
ring,10,1.0849459171295166,1.1541848587036132,0.0692389415740966,1.3473592368796063
ring,20,1.7111386060714722,1.8608380493164063,0.14969944324493412,3.4072363320021273
ring,30,2.4116756916046143,2.6399869998931886,0.22831130828857438,5.460117355972153
ring,40,3.140202522277832,3.4456492630004885,0.30544674072265643,7.250668264375601
ring,50,3.881516695022583,4.263595524597168,0.38207882957458494,8.707210352264507
ring,60,4.6296257972717285,5.0882197288513185,0.45859393157958994,9.844392729091435
ring,70,5.381786823272705,5.916880703735352,0.5350938804626466,10.709713146641903
ring,80,6.1365580558776855,6.748146127319336,0.6115880714416502,11.357271992348629
ring,90,6.893074035644531,7.581137231445313,0.6880631958007815,11.83634257435425
ring,100,7.650783538818359,8.415291049194336,0.7645075103759762,12.18795730100959
ring,110,8.409329414367676,9.250247276306153,0.8409178619384772,12.444673348512087
ring,120,9.168471336364746,10.08576830444336,0.9172969680786132,12.631508124436785
ring,130,9.928051948547363,10.921701304626465,0.9936493560791018,12.767233535028344
ring,140,10.687963485717773,11.757949908447266,1.0699864227294924,12.865729922546763
ring,150,11.448126792907715,12.594442254638672,1.146315461730957,12.937150487136956
ring,160,12.208492279052734,13.43113207397461,1.222639794921875,12.988913013356145
ring,170,12.96902084350586,14.26798948059082,1.2989686370849611,13.026420276017316
ring,180,13.729679107666016,15.104983728027344,1.3753046203613284,13.053616390835908
ring,190,14.49044418334961,15.942096383666993,1.4516522003173833,13.073349740865305
ring,200,15.251299858093262,16.7793076171875,1.528007759094237,13.087702822326557
ring,210,16.01223373413086,17.616610943603515,1.6043772094726556,13.098172358983902
ring,220,16.773231506347656,18.453990087890624,1.6807585815429675,13.105838337068132
ring,230,17.534284591674805,19.29143662109375,1.7571520294189469,13.11149160677233
ring,240,18.295379638671875,20.128935620117186,1.8335559814453113,13.115693105688072
ring,250,19.056514739990234,20.96648832702637,1.9099735870361343,13.118857591969512
ring,260,19.81768226623535,21.80407957763672,1.9863973114013689,13.121269075745317
ring,270,20.578882217407227,22.64171021118164,2.0628279937744125,13.123164900709828
ring,280,21.340091705322266,23.47936452636719,2.139272821044923,13.124689948439524
ring,290,22.101327896118164,24.31704609375,2.215718197631837,13.125953999864445
ring,299,22.78644561767578,25.070974633789064,2.2845290161132823,13.126935894741711
